id,actual,pred
0,airedale,airedale
1,airedale,airedale
2,airedale,airedale
3,airedale,airedale
4,airedale,airedale
5,airedale,airedale
6,airedale,otterhound
7,airedale,airedale
8,airedale,airedale
9,airedale,airedale
10,airedale,airedale
11,airedale,airedale
12,airedale,airedale
13,airedale,airedale
14,airedale,airedale
15,airedale,airedale
16,airedale,airedale
17,airedale,airedale
18,airedale,airedale
19,airedale,airedale
20,airedale,airedale
21,airedale,airedale
22,airedale,airedale
23,airedale,airedale
24,airedale,airedale
25,airedale,airedale
26,airedale,airedale
27,airedale,airedale
28,airedale,airedale
29,airedale,airedale
30,airedale,airedale
31,airedale,airedale
32,airedale,airedale
33,airedale,airedale
34,airedale,airedale
35,airedale,airedale
36,airedale,airedale
37,airedale,airedale
38,airedale,airedale
39,airedale,airedale
40,airedale,airedale
41,airedale,airedale
42,airedale,airedale
43,airedale,airedale
44,airedale,airedale
45,airedale,airedale
46,airedale,airedale
47,airedale,airedale
48,airedale,airedale
49,airedale,airedale
50,airedale,airedale
51,airedale,airedale
52,airedale,airedale
53,airedale,airedale
54,airedale,airedale
55,airedale,airedale
56,airedale,airedale
57,airedale,airedale
58,airedale,airedale
59,airedale,airedale
60,airedale,airedale
61,airedale,airedale
62,airedale,airedale
63,airedale,airedale
64,airedale,airedale
65,airedale,airedale
66,airedale,airedale
67,airedale,airedale
68,airedale,airedale
69,airedale,airedale
70,airedale,airedale
71,airedale,airedale
72,airedale,airedale
73,airedale,airedale
74,airedale,airedale
75,airedale,rottweiler
76,airedale,airedale
77,airedale,airedale
78,airedale,airedale
79,airedale,airedale
80,airedale,airedale
81,airedale,irish_terrier
82,airedale,airedale
83,airedale,airedale
84,airedale,airedale
85,airedale,airedale
86,airedale,airedale
87,airedale,airedale
88,airedale,airedale
89,airedale,airedale
90,airedale,airedale
91,airedale,airedale
92,airedale,airedale
93,airedale,airedale
94,airedale,airedale
95,airedale,airedale
96,airedale,airedale
97,airedale,airedale
98,airedale,airedale
99,airedale,airedale
100,airedale,airedale
101,airedale,airedale
102,airedale,airedale
103,airedale,otterhound
104,airedale,wire-haired_fox_terrier
105,airedale,airedale
106,airedale,airedale
107,airedale,airedale
108,airedale,airedale
109,airedale,airedale
110,airedale,airedale
111,airedale,airedale
112,airedale,airedale
113,airedale,airedale
114,airedale,airedale
115,airedale,airedale
116,airedale,airedale
117,airedale,airedale
118,airedale,airedale
119,airedale,airedale
120,airedale,airedale
121,airedale,airedale
122,airedale,airedale
123,airedale,airedale
124,airedale,airedale
125,airedale,airedale
126,airedale,airedale
127,airedale,airedale
128,airedale,airedale
129,airedale,airedale
130,airedale,airedale
131,airedale,airedale
132,airedale,airedale
133,airedale,airedale
134,airedale,airedale
135,airedale,airedale
136,airedale,airedale
137,airedale,airedale
138,airedale,airedale
139,airedale,airedale
140,airedale,airedale
141,airedale,airedale
142,airedale,airedale
143,airedale,airedale
144,airedale,airedale
145,airedale,airedale
146,airedale,airedale
147,airedale,airedale
148,airedale,airedale
149,airedale,airedale
150,airedale,airedale
151,airedale,airedale
152,airedale,airedale
153,airedale,airedale
154,airedale,airedale
